Instrument,RIC,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
TRGP.N,TRGP.N,,,,,,,,,,,,,
TRMB.O,TRMB.O,,,,,,,,,,,,,
TSCO.O,TSCO.O,,,,,,,,,,,,,
TSLA.O,TSLA.O,,,,,,,,,,,,,
TSN.N,TSN.N,,,,,,,,,,,,,
TT.N,TT.N,,,,,,,,,,,,,
TTWO.O,TTWO.O,,,,,,,,,,,,,
TXN.O,TXN.O,,,,,,,,,,,,,
TXT.N,TXT.N,,,,,,,,,,,,,
TYL.N,TYL.N,,,,,,,,,,,,,
UAL.O,UAL.O,,,,,,,,,,,,,
UBER.N,UBER.N,,,,,,,,,,,,,
UDR.N,UDR.N,,,,,,,,,,,,,
UHS.N,UHS.N,,,,,,,,,,,,,
ULTA.O,ULTA.O,,,,,,,,,,,,,
UNH.N,UNH.N,,,,,,,,,,,,,
UNP.N,UNP.N,,,,,,,,,,,,,
UPS.N,UPS.N,,,,,,,,,,,,,
URI.N,URI.N,,,,,,,,,,,,,
VICI.N,VICI.N,,,,,,,,,,,,,
VLO.N,VLO.N,,,,,,,,,,,,,
VLTO.N,VLTO.N,,,,,,,,,,,,,
VMC.N,VMC.N,,,,,,,,,,,,,
VRSK.O,VRSK.O,,,,,,,,,,,,,
VRSN.O,VRSN.O,,,,,,,,,,,,,
VRTX.O,VRTX.O,,,,,,,,,,,,,
VST.N,VST.N,,,,,,,,,,,,,
VTR.N,VTR.N,,,,,,,,,,,,,
VTRS.O,VTRS.O,,,,,,,,,,,,,
VZ.N,VZ.N,,,,,,,,,,,,,
WAB.N,WAB.N,,,,,,,,,,,,,
WAT.N,WAT.N,,,,,,,,,,,,,
WBA.O,WBA.O,,,,,,,,,,,,,
WBD.O,WBD.O,,,,,,,,,,,,,
WDAY.O,WDAY.O,,,,,,,,,,,,,
WDC.O,WDC.O,,,,,,,,,,,,,
